city_id,city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness,country
293,bullhead city,35.1477774,-114.568298,Clouds,61.21,49,981,13.8,75,US
294,merauke,-8.4902766,140.395582,Clouds,80.78,74,1010,8.7,100,ID
295,suez,29.974498,32.537086,Clouds,59.22,64,1019,8.93,57,EG
296,martapura,-3.4086465,114.848837,Clouds,75.9,91,1011,1.3,100,ID
297,nizhneyansk,71.440445,136.130646,Clouds,-32.13,100,1018,7.85,94,RU
298,buenos aires,-34.6075682,-58.4370894,Mist,67.21,96,1010,2.3,100,AR
299,kodiak,57.79,-152.4072222,Mist,40.51,93,965,11.5,100,US
300,whitianga,-36.8331861,175.7024856,Clouds,67.06,62,1021,17.0,99,NZ
301,kempsey,-31.0798092,152.842289,Clouds,77.94,67,1013,1.99,49,AU
302,yatou,33.8084033,104.3247758,Clouds,21.88,93,1034,1.97,96,CN
303,upernavik,72.7847392,-56.1469625,Clouds,-17.27,78,1006,7.0,71,GL
304,qabis,17.407368,43.284138,Clear,56.93,52,1019,4.9,6,YE
305,champerico,14.293651,-91.911813,Clouds,88.36,69,1011,9.57,85,GT
306,sept-iles,50.2109579,-66.3790642,Clouds,20.12,82,1007,7.54,99,CA
307,sisimiut,66.9371906,-53.6664816,Clouds,-3.28,83,1005,10.83,67,GL
308,maine-soroa,13.2151567,12.0280819,Clouds,62.11,29,1017,11.7,41,NE
309,raipur,21.2380912,81.6336993,Clear,57.51,56,1017,5.3,0,IN
310,dovers,12.8898564,-61.1839586,Rain,77.74,80,1013,17.63,0,VC
311,burica,8.0637437,-82.9127307,Rain,79.7,74,1011,3.67,25,PA
312,henties bay,-22.1130313,14.2881683522115,Clouds,64.51,91,1011,7.4,65,NA
313,launceston,-41.4340813,147.1373496,Rain,69.91,73,1006,8.05,75,AU
314,waddan,29.1613826,16.141311,Clear,52.09,64,1028,4.36,0,LY
315,san francisco,37.7790262,-122.419906,Clouds,59.86,53,1011,16.11,40,US
316,santa maria,-29.6860512,-53.8069214,Rain,82.76,51,1005,6.2,67,BR
317,puri,19.8076083,85.8252538,Clear,70.12,83,1016,6.42,5,IN
318,manyana,-24.775121,25.592222,Clouds,65.64,77,1016,3.76,73,BW
319,naze,5.4519997,7.0566745,Clouds,72.28,60,1012,3.47,12,NG
320,guatire,10.4684588,-66.5431115,Clouds,70.56,96,1014,3.06,48,VE
321,chateaubelair,13.2896437,-61.2413945,Rain,76.6,81,1014,14.0,20,VC
322,altay,47.8257562,88.1291701,Snow,14.92,96,1041,1.57,100,CN
323,kirando,-7.3712142,30.6216293,Clouds,70.72,77,1011,5.32,43,TZ
324,medicine hat,50.04303,-110.679016,Clear,26.4,79,1012,1.99,6,CA
325,conceicao do araguaia,-8.2696905,-49.2676864,Clouds,76.12,86,1010,2.59,95,BR
